[2025-08-25T16:03:24.576+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-25T16:03:24.661+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: daily_generate_orders.load_csv_to_postgres manual__2025-08-25T16:03:18.154270+00:00 [queued]>
[2025-08-25T16:03:24.689+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: daily_generate_orders.load_csv_to_postgres manual__2025-08-25T16:03:18.154270+00:00 [queued]>
[2025-08-25T16:03:24.690+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-08-25T16:03:24.722+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_csv_to_postgres> on 2025-08-25 16:03:18.154270+00:00
[2025-08-25T16:03:24.739+0000] {warnings.py:112} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62: DeprecationWarning: This process (pid=881) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-08-25T16:03:24.741+0000] {standard_task_runner.py:64} INFO - Started process 883 to run task
[2025-08-25T16:03:24.746+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'daily_generate_orders', 'load_csv_to_postgres', 'manual__2025-08-25T16:03:18.154270+00:00', '--job-id', '549', '--raw', '--subdir', 'DAGS_FOLDER/generate_fake_shop_csv.py', '--cfg-path', '/tmp/tmp5gzsio1n']
[2025-08-25T16:03:24.759+0000] {standard_task_runner.py:91} INFO - Job 549: Subtask load_csv_to_postgres
[2025-08-25T16:03:24.786+0000] {warnings.py:112} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/settings.py:195: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2025-08-25T16:03:24.867+0000] {task_command.py:426} INFO - Running <TaskInstance: daily_generate_orders.load_csv_to_postgres manual__2025-08-25T16:03:18.154270+00:00 [running]> on host b5ea13053d47
[2025-08-25T16:03:26.118+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.191+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.245+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.298+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.340+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.389+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.425+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.453+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.481+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.510+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.540+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.566+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.594+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.621+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.646+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.673+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.698+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.733+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.755+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.778+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.801+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.825+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.847+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.868+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.890+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.904+0000] {logging_mixin.py:188} INFO - ✅ Загружено 200 новых строк в таблицу shipments
[2025-08-25T16:03:26.931+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:26.952+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:26.972+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:26.991+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.012+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.031+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.051+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.073+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.097+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.126+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.156+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.186+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.204+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.228+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.268+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.315+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.374+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.419+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.463+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.508+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.530+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.569+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.620+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.686+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.721+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:03:27.775+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:27.809+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:27.854+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:27.886+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:27.948+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:27.976+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.002+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.021+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.040+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.057+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.075+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.095+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.113+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.130+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.148+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.166+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.192+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.211+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.266+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.296+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.321+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.347+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.376+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.413+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.443+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.474+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.511+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.564+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.602+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.618+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.650+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.686+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.726+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.757+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.788+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.829+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.856+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу orders
[2025-08-25T16:03:28.874+0000] {logging_mixin.py:188} INFO - ✅ Загружено 212 новых строк в таблицу orders
[2025-08-25T16:03:28.901+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу products
[2025-08-25T16:03:28.924+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу products
[2025-08-25T16:03:28.944+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу products
[2025-08-25T16:03:28.961+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу products
[2025-08-25T16:03:28.979+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу products
[2025-08-25T16:03:29.050+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.088+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.134+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.172+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.215+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.277+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.331+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.372+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.402+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.433+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.456+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.490+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.529+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.584+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.637+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.667+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.687+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.708+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.732+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.753+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.786+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.833+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.886+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.932+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:29.976+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.033+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.069+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.091+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.111+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.131+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.152+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.212+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.248+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.273+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.299+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.330+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.353+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.410+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.430+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.499+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.532+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.566+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.598+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.625+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.653+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.684+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.745+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.788+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.830+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.866+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу order_items
[2025-08-25T16:03:30.879+0000] {logging_mixin.py:188} INFO - ✅ Загружено 27 новых строк в таблицу order_items
[2025-08-25T16:03:30.907+0000] {logging_mixin.py:188} INFO - ✅ Загружено 100 новых строк в таблицу suppliers
[2025-08-25T16:03:30.970+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2025-08-25T16:03:30.972+0000] {taskinstance.py:2905} ERROR - Task failed with exception
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.12/site-packages/sqlalchemy/engine/base.py", line 1890, in _execute_context
    self.dialect.do_executemany(
  File "/home/airflow/.local/lib/python3.12/site-packages/sqlalchemy/dialects/postgresql/psycopg2.py", line 982, in do_executemany
    context._psycopg2_fetched_rows = xtras.execute_values(
                                     ^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/psycopg2/extras.py", line 1299, in execute_values
    cur.execute(b''.join(parts))
psycopg2.errors.UndefinedColumn: column "payment_date" of relation "payment" does not exist
LINE 1: ...r_id, payment_method, amount, transaction_status, payment_da...
                                                             ^


The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/taskinstance.py", line 465, in _execute_task
    result = _execute_callable(context=context, **execute_callable_kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/taskinstance.py", line 432, in _execute_callable
    return execute_callable(context=context, **execute_callable_kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/baseoperator.py", line 401, in wrapper
    return func(self, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/operators/python.py", line 235, in execute
    return_value = self.execute_callable()
                   ^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/operators/python.py", line 252, in execute_callable
    return self.python_callable(*self.op_args, **self.op_kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/opt/airflow/dags/generate_fake_shop_csv.py", line 154, in load_csv_to_postgres
    chunk.to_sql(table_name, engine, if_exists="append", index=False, dtype=dtype_mapping)
  File "/home/airflow/.local/lib/python3.12/site-packages/pandas/util/_decorators.py", line 333, in wrapper
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/pandas/core/generic.py", line 3008, in to_sql
    return sql.to_sql(
           ^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/pandas/io/sql.py", line 788, in to_sql
    return pandas_sql.to_sql(
           ^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/pandas/io/sql.py", line 1958, in to_sql
    total_inserted = sql_engine.insert_records(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/pandas/io/sql.py", line 1507, in insert_records
    raise err
  File "/home/airflow/.local/lib/python3.12/site-packages/pandas/io/sql.py", line 1498, in insert_records
    return table.insert(chunksize=chunksize, method=method)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/pandas/io/sql.py", line 1059, in insert
    num_inserted = exec_insert(conn, keys, chunk_iter)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/pandas/io/sql.py", line 951, in _execute_insert
    result = conn.execute(self.table.insert(), data)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/sqlalchemy/engine/base.py", line 1385, in execute
    return meth(self, multiparams, params, _EMPTY_EXECUTION_OPTS)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/sqlalchemy/sql/elements.py", line 334, in _execute_on_connection
    return connection._execute_clauseelement(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/sqlalchemy/engine/base.py", line 1577, in _execute_clauseelement
    ret = self._execute_context(
          ^^^^^^^^^^^^^^^^^^^^^^
